text,hs_code,hs_chapter,hs_desc,language
"Imported whiskies, customs declaration, for customs clearance and import declaration, shipping term CIF.",220830,Beverages,Whiskies,en
"Laptop di động, nhẹ dưới 10kg, for bonded warehouse delivery, shipping term CIF.",847130,Electronics,Portable digital computers <10kg,vi
"Silicon, containing ≥99.99% Si, quantity: various, for wholesale, for industrial procurement contract, packed in cartons.",280461,Chemicals,"Silicon, containing ≥99.99% Si",en
"Export grade women's trousers of cotton, certified",620462,Garments,Women's trousers of cotton,en
"Export grade electric motor cars (hybrid), certified, for cross-border shipment, packed in cartons.",870340,Vehicles,Electric motor cars (hybrid),en
"Other medium petroleum oils, packed for international trade",271019,Mineral Fuels,Other medium petroleum oils,en
"Silicon, containing ≥99.99% Si, packed for international trade",280461,Chemicals,"Silicon, containing ≥99.99% Si",en
"Light petroleum distillates, gasoline grade",271012,Mineral Fuels,Light petroleum oils,en
"便携式笔记本电脑 14英寸 16GB内存, for cross-border shipment, for scheduled maritime transport.",847130,Electronics,Portable digital computers <10kg,zh
"Other seats, quantity: various, for wholesale, for export under standard commercial terms, for mixed-lot cargo.",940180,Furniture,Other seats,en
"Export grade spark-ignition engines >1000cc, certified, for customs clearance and import declaration, shipping term CIF.",840734,Machinery,Spark-ignition engines >1000cc,en
"New passenger car, petrol 1.5-3.0L, for regional retail supply chain, palletized for container shipment.",870323,Vehicles,"Motor cars, 1500-3000cc",en
"HRC coil, structural grade, 4.5mm, for bulk procurement program, packed in cartons.",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
"特斯拉Model 3 纯电动车, for bonded warehouse delivery, palletized for container shipment.",870380,Vehicles,"Other motor vehicles, electric",zh
"Green tea in packages ≤3kg, quantity: various, for wholesale, for bonded warehouse delivery, shipping term FOB.",090210,Coffee/Tea,Green tea in packages ≤3kg,en
"Export grade other needles, catheters, certified, for bulk procurement program, palletized for container shipment.",901839,Medical,"Other needles, catheters",en
"Raw green coffee, robusta, not decaffeinated, for customs clearance and import declaration, for 20ft container loading.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",en
"Greenhouse tomatoes, fresh, grade A, for international wholesale distribution, for scheduled maritime transport.",070200,Vegetables,"Tomatoes, fresh or chilled",en
"Combined refrigerator-freezers - standard quality, bulk shipment",841810,Machinery,Combined refrigerator-freezers,en
"轻薄笔记本电脑 商务用途, for international wholesale distribution, palletized for container shipment.",847130,Electronics,Portable digital computers <10kg,zh
"Other frozen fish for industrial/commercial use, for industrial procurement contract, packed in cartons.",030389,Fish,Other frozen fish,en
Upholstered seats with wooden frames for industrial/commercial use,940161,Furniture,Upholstered seats with wooden frames,en
"Toy pedal tractor for children, for customs clearance and import declaration, packed in cartons.",950300,Toys,"Tricycles, scooters and pedal cars (toys)",en
"Wheat and meslin, other, meeting international standards",100199,Cereals,"Wheat and meslin, other",en
"Imported other games and articles for games, customs declaration, for bulk procurement program, with standard commercial invoice and packing list.",950490,Toys,Other games and articles for games,en
"Grade A boneless beef, refrigerated, for regional retail supply chain, palletized for container shipment.",020130,Meat,Fresh or chilled boneless bovine meat,en
"Trade declaration: aeroplanes, unladen weight 2000-15000kg, new, for export under standard commercial terms, shipping term CIF.",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Portland cement, other, meeting international standards",252329,Minerals,"Portland cement, other",en
"Kids' balance bicycle, toy grade, for customs clearance and import declaration, shipping term CIF.",950300,Toys,"Tricycles, scooters and pedal cars (toys)",en
